Normale X,Normale Y,Normale Z,S1 X,S1 Y,S1 Z,S2 X,S2 Y,S2 Z,S3 X,S3 Y,S3 Z
-1120.7051,-851.26025,1142.0414,-201.8837,-178.6438,-139.6599,-202.3976,-131.1058,-104.7301,-226.2543,-146.5593,-139.6599
-1234.4034,-937.62274,841.4792,-201.8837,-178.6438,-139.6599,-226.2543,-146.5593,-139.6599,-257.113,-140.4615,-178.1334
-42.895107,-44.095867,295.25403,-28.83367,-34.45604,-3.072789,-33.64703,-29.77375,-3.072789,-57.13037,-68.2704,-12.23393
-84.991295,-87.37052,585.0093,-57.13037,-68.2704,-12.23393,-33.64703,-29.77375,-3.072789,-66.66745,-58.99303,-12.23393
-139.89246,-143.80856,563.01355,-57.13037,-68.2704,-12.23393,-66.66745,-58.99303,-12.23393,-84.36313,-100.8134,-27.31282
-206.57661,-212.35901,831.3905,-84.36313,-100.8134,-27.31282,-66.66745,-58.99303,-12.23393,-98.44633,-87.11368,-27.31282
-283.801,-291.74503,783.4261,-84.36313,-100.8134,-27.31282,-98.44633,-87.11368,-27.31282,-110.0248,-131.4789,-48.02864
-370.12744,-380.4874,1021.7273,-110.0248,-131.4789,-48.02864,-98.44633,-87.11368,-27.31282,-128.3918,-113.612,-48.02864
-463.94925,-476.9353,940.14734,-110.0248,-131.4789,-48.02864,-128.3918,-113.612,-48.02864,-133.6375,-159.6959,-73.99561
-563.5173,-579.2922,1141.9155,-133.6375,-159.6959,-73.99561,-128.3918,-113.612,-48.02864,-155.9463,-137.9946,-73.99561
-666.97864,-685.6498,1021.55743,-133.6375,-159.6959,-73.99561,-155.9463,-137.9946,-73.99561,-154.7614,-184.9389,-104.7301
-772.4099,-794.03186,1183.0371,-154.7614,-184.9389,-104.7301,-155.9463,-137.9946,-73.99561,-180.5966,-159.8072,-104.7301
-877.8451,-902.4184,1021.6262,-154.7614,-184.9389,-104.7301,-180.5966,-159.8072,-104.7301,-173.0033,-206.7377,-139.6599
-981.3142,-1008.7865,1142.0459,-173.0033,-206.7377,-139.6599,-180.5966,-159.8072,-104.7301,-201.8837,-178.6438,-139.6599
-1080.8711,-1111.1305,854.3126,-173.0033,-206.7377,-139.6599,-201.8837,-178.6438,-139.6599,-231.9745,-178.9535,-178.1334
-35.84379,-49.996563,295.25394,-23.37621,-38.36863,-3.072789,-28.83367,-34.45604,-3.072789,-46.31708,-76.02272,-12.23393
-71.02009,-99.062065,585.0095,-46.31708,-76.02272,-12.23393,-28.83367,-34.45604,-3.072789,-57.13037,-68.2704,-12.23393
-116.89638,-163.05241,563.0132,-46.31708,-76.02272,-12.23393,-57.13037,-68.2704,-12.23393,-68.39539,-112.261,-27.31282
-172.61713,-240.77574,831.3877,-68.39539,-112.261,-27.31282,-57.13037,-68.2704,-12.23393,-84.36313,-100.8134,-27.31282
-237.14645,-330.78473,783.4242,-68.39539,-112.261,-27.31282,-84.36313,-100.8134,-27.31282,-89.19998,-146.4087,-48.02864
